id;title;opening;closing;short_desc;lat;lon;zone;type;infos;contact
r637;Cafétéria des Lettres;110,110,110,110,110,000,000;1;;43,5191929;5,4468557;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>du lundi au vendredi : 7h30-18h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria des Lettres</h2><p>29 avenue Robert Schumann 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> :  04 42 20 45 86</p>"
r638;La Crouzzéria;001,001,001,001,000,000,001;1;;43,519007;5,447949;Aix;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du dimanche au jeudi : 18h00-23h00</p>
<h2>Pratique</h2><p>Réservé uniquement aux clients de la Crouzzéria : soirées foot tous les dimanches soirs (ou lorsque la programmation le permet).<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>La Crouzzéria</h2><p>31 avenue Jules Ferry - 13621 Aix-en-Provence cedex 1<br/><b>T&#233;l&#233;phone</b> :  04 42 16 22 73</p>"
r639;Galinat;010,010,010,010,010,000,000;1;Campus santé de La Timone;43,2868659;5,3997356;Marseille;resto;"<img src="""" class=""image-batiment"" />
<h2>Localisation</h2><p>Campus santé de La Timone</p>
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Galinat</h2><p>38 boulevard Jean Moulin - 13005 Marseille<br/><b>T&#233;l&#233;phone</b> :  04 91 78 52 58</p>"
r640;Gaston Berger;010,010,010,010,010,000,000;1;;43,3056198;5,3785957;Marseille;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Gaston Berger</h2><p>43 rue du 141e?me RIA - 13003 Marseille<br/><b>T&#233;l&#233;phone</b> :  04 91 62 83 71 </p>"
r641;IMT - Château Gombert;010,010,010,010,010,000,000;1;;43,3543089;5,4552945;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/d0805a0de4f7db7152fc7e4b2359d7f1.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>IMT - Château Gombert</h2><p>Chemin de la Grave - 13013 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 05 46 18</p>"
r642;Luminy;011,011,011,011,010,000,000;1;;43,238096;5,43562;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/c3b639019cb3a9b61d072c329c83c356.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30
<br/>Du lundi au jeudi : 18h30 - 20h15</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Luminy</h2><p>171 avenue de Luminy - 13009 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 41 19 84</p>"
r643;Saint-Jérôme;010,010,010,010,010,000,000;1;;43,3352253;5,408098;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/a3c5c15a6e7022ba2689609f0a210346.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Saint-Jérôme</h2><p>Avenue Henri Poincarre? - 13397 Marseille cedex 4<br/><b>T&#233;l&#233;phone</b> : 04 91 10 11 02</p>"
r644;Canebière;011,011,011,011,011,000,000;1;;43,2975953;5,3835992;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/685a4534fdc6762c542984b75437a51c.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi de 11h30 à 14h et de 18h30 à 20h45</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";<h2>Canebière</h2><p>9-11 rue Sénac - 13001 Marseille</p>
r645;Cafétéria Canebière;110,110,110,110,110,000,000;1;;43,2980032;5,3828208;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/72a22b3e35ccff415ac92380dfd78a8b.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 16h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Canebière</h2><p>Fac de droit - La Canebie?re - 13001 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 02 58 17</p>"
r646;IUT;110,110,110,110,110,000,000;1;;43,3414453;5,4086789;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/863be9e6b3d4d0e2f135633b5c3f4ea0.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 16h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>IUT</h2><p>Chemin des Ge?raniums - 13014 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 10 11 02</p>"
r647;Cafétéria IMT;110,110,110,110,110,000,000;1;;43,3425998;5,4367564;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/3f038f78405ca1ebfe6d2eb64387f9e2.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 16h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria IMT</h2><p>38 rue Frédéric Joliot Curie - 13013 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 05 46 18</p>"
r648;Cafétéria Luminy;111,111,111,111,110,000,000;1;;43,238096;5,43562;Marseille;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h - 14h30
<br/>Du lundi au jeudi : 20h-23h</p>
<h2>Pratique</h2><p>Point de vente de baguettes cuites sur place et de produits de premie?re ne?cessite?, du lundi au vendredi de 18h30 a? 21h, le samedi et le dimanche de 10h a? 12h<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Luminy</h2><p>171 avenue de Luminy - 13009 Marseille <br/><b>T&#233;l&#233;phone</b> : 04 91 41 19 84</p>"
r649;Cafétéria de Médecine;110,110,110,110,110,000,000;1;;43,2881033;5,4033631;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/c177d3e91d672a26f72f79d3ba820171.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 17h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria de Médecine</h2><p>27 boulevard Jean Moulin - 13005 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 80 25 67</p>"
r650;Paul Cézanne;110,110,110,110,110,000,000;1;;43,3339618;5,4100892;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/89774beee3bf220376e18f35e64e3340.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 16h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Paul Cézanne</h2><p>Avenue Escadrille Normandie Nie?men - 13013 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 28 88 18</p>"
r651;Cafétéria Saint-Charles;110,110,110,110,110,000,000;1;;43,3047761;5,3775126;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/ac7709745e743ffc03d60a3f34e3b770.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 16h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Saint-Charles</h2><p>3 place Victor Hugo - 13331 Marseille cedex 3<br/><b>T&#233;l&#233;phone</b> : 04 91 62 83 71 o</p>"
r652;Médecine Nord;110,110,110,110,110,000,000;1;;43,3775529;5,3615443;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/4c81c6b6905ee21bf215a08f03ebcb95.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 15h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Médecine Nord</h2><p>Boulevard Pierre Dramard - 13015 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 69 88 05</p>"
r653;Pharmacie;110,110,110,110,110,000,000;1;;43,2881033;5,4033631;Marseille;resto;"<img src=""../../https@crous.parking.einden.com/static-images/7a522e81f5cca138293b159f849c212c.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30 - 17h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Pharmacie</h2><p>27 boulevard Jean Moulin - 13005 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 25 97 28</p>"
r654;Cafétéria Thiers;110,110,110,110,110,000,000;1;;43,2969164;5,3825864;Marseille;resto;"<img src="""" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 9h30 - 14h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Thiers</h2><p>5 place du Lyce?e - 13001 Marseille<br/><b>T&#233;l&#233;phone</b> : 04 91 94 90 14</p>"
r655;Agroparc;010,010,010,010,010,000,000;1;;43,9098935;4,8912057;Avignon;resto;"<img src=""../../https@crous.parking.einden.com/static-images/21be7682cdcad00fa71bbf1b6886e865.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-13h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Agroparc</h2><p>106 avenue Michel Montaigne - 84000 Avignon<br/><b>T&#233;l&#233;phone</b> : 04 90 84 07 75</p>"
r656;Sainte-Marthe;010,010,010,010,010,000,000;1;;43,9494466;4,8169987;Avignon;resto;"<img src=""../../https@crous.parking.einden.com/static-images/8fc5dfe2fd7dd7b58b66e516a9ae1706.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 11h30-14h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Sainte-Marthe</h2><p>74 rue Louis Pasteur - 84000 Avignon<br/><b>T&#233;l&#233;phone</b> : 04 90 80 65 26</p>"
r657;Cafétéria Sainte-Marthe;110,110,110,110,110,000,000;1;;43,9494466;4,8169987;Avignon;resto;"<img src=""../../https@crous.parking.einden.com/static-images/b9923cfc47e6761e66272b83a05038db.jpg"" class=""image-batiment"" />
<h2>Horaires</h2><p>Du lundi au vendredi : 7h30-18h00</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/moneo.jpg'/> Mon&#233;o<br/>
<img valign=middle width=32 height=32 src='../../www.crous-amiens.fr/iRestos/images/especes.png'/> especes<br/>
</p>";"<h2>Cafétéria Sainte-Marthe</h2><p>74 rue Louis Pasteur - 84000 Avignon<br/><b>T&#233;l&#233;phone</b> : 04 90 80 65 26</p>"
r1;Restaurant du Bailly;011,011,011,011,010,000,000;0;Au campus, à proximité de l'IUT et de la faculté de STAPS;49,8728469;2,265;AMIENS CAMPUS;resto;"<img src=""../../https@crous.parking.einden.com/static-images/7b0bd12738282cd80c367b6cd1bf0d09.jpg"" class=""image-batiment"" />
<h2>Localisation</h2><p>Au campus, à proximité de l'IUT et de la faculté de STAPS</p>
<h2>Horaires</h2><p>Restauration traditionnelle : Ouvert de 11h30 à 13h40 et de 18h30 à 20h15<br/>Snack : ouvert de 8h à 15h</p>
<h2>Pratique</h2><p><img valign=middle height=32 width=32 src='../../https@crous.parking.einden.com/static-images/dc742a6f9cefc3997f7eb9f3aca8db91.gif'/> Accessible aux personnes à mobilité réduite<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/ae43ad7c76645e7b3b6cc95b4aa3cc55.png'/> especes<br/>
<img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/4dffeec5b742d3dfb1c0e2a624d94666.png'/> IZLY<br/>
</p>";"<h2>Restaurant du Bailly</h2><p> avenue des Facultés, SALOUEL<br/><b>T&#233;l&#233;phone</b> : 03.22.71.91.50<br/><b>E-mail</b> : ru.amiens-sud.secretariat@crous-amiens.fr</p>"
r2;Cafétéria de la Rotonde;110,110,110,110,110,000,000;0;Située au coeur du campus;49,8775;2,2641236;AMIENS CAMPUS;cafeteria;"<img src=""../../https@crous.parking.einden.com/static-images/6d865ed0a652cfb1db3ab23db536c112.jpg"" class=""image-batiment"" />
<h2>Localisation</h2><p>Située au coeur du campus</p>
<h2>Horaires</h2><p>Restauration traditionnelle : Ouvert de 12h à 13h30<br/>Snack : Ouvert de 8h à 15h</p>
<h2>Pratique</h2><p><img valign=middle height=32 width=32 src='../../https@crous.parking.einden.com/static-images/dc742a6f9cefc3997f7eb9f3aca8db91.gif'/> Accessible aux personnes à mobilité réduite<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/ae43ad7c76645e7b3b6cc95b4aa3cc55.png'/> especes<br/>
<img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/4dffeec5b742d3dfb1c0e2a624d94666.png'/> IZLY<br/>
</p>";"<h2>Cafétéria de la Rotonde</h2><p>chemin du Thil, SALOUEL<br/><b>T&#233;l&#233;phone</b> : 03.22.89.14.27<br/><b>E-mail</b> : ru.amiens-sud.secretariat@crous-amiens.fr</p>"
r3;Restaurant de l'ESIEE;010,010,010,010,010,000,000;0;Au sein de l'Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique;49,8996519;2,2914433;AMIENS CENTRE;resto;"<img src=""../../https@crous.parking.einden.com/static-images/6f00e24b9ec81da28524fcb64f25d1e6.jpg"" class=""image-batiment"" />
<h2>Localisation</h2><p>Au sein de l'Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique</p>
<h2>Horaires</h2><p>Ouvert de 12h à 13h30</p>
<h2>Pratique</h2><p><img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/577d3b9576dcb7f5884d4ee2c97c4553.gif'/> WIFI disponible<br/>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/4dffeec5b742d3dfb1c0e2a624d94666.png'/> IZLY<br/>
</p>";"<h2>Restaurant de l'ESIEE</h2><p>14 quai de la Somme, 80000 AMIENS<br/><b>T&#233;l&#233;phone</b> : 03.22.43.54.83<br/><b>E-mail</b> : ru.amiens-centre.secretariat@crous-amiens.fr</p>"
r4;Cafétéria de la faculté des arts;010,010,010,010,010,000,000;0;Au coeur de la faculté des arts;49,9020228;2,2929127;AMIENS CENTRE;cafeteria;"<img src=""../../https@crous.parking.einden.com/static-images/c4f5343a090bf8f7e2bd2b295fba5c6b.jpg"" class=""image-batiment"" />
<h2>Localisation</h2><p>Au coeur de la faculté des arts</p>
<h2>Horaires</h2><p>Ouvert de 8h à 14h et de 14h30 à 16h30</p>
<h2>Paiements possibles</h2><p><img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/ae43ad7c76645e7b3b6cc95b4aa3cc55.png'/> especes<br/>
<img valign=middle width=32 height=32 src='../../https@crous.parking.einden.com/static-images/4dffeec5b742d3dfb1c0e2a624d94666.png'/> IZLY<br/>
</p>";"<h2>Cafétéria de la faculté des arts</h2><p>rue des Teinturiers, 80000 AMIENS<br/><b>T&#233;l&#233;phone</b> : 03.22.71.24.87<br/><b>E-mail</b> : ru.amiens-centre.secretariat@crous-amiens.fr</p>"
